,sensor,activity,start_end
2014-03-14 07:08:47.527421,cupSens,MakeCoffee,start
2014-03-14 07:09:06.988992,afcoffeeSens,MakeCoffee,
2014-03-14 07:09:18.284933,wsugarSens,MakeCoffee,end
2014-03-14 07:10:11.586131,brusherSens,BrushTeeth,start
2014-03-14 07:10:17.226768,toothpasteSens,BrushTeeth,
2014-03-14 07:10:26.026423,btapSens,BrushTeeth,end
2014-03-14 13:21:28.079074,saucepanSens,MakePasta,start
2014-03-14 13:21:44.722866,spaghettiSens,MakePasta,
2014-03-14 13:22:16.438271,cookerSens,MakePasta,
2014-03-14 13:31:39.052785,ftomatoSens,MakePasta,end
2014-03-14 13:52:52.242141,brusherSens,BrushTeeth,start
2014-03-14 13:52:57.203475,toothpasteSens,BrushTeeth,
2014-03-14 13:53:05.051949,btapSens,BrushTeeth,end
2014-03-14 19:27:02.569782,rcontrolSens,WatchTelevision,start
2014-03-14 19:27:08.302406,tvSens,WatchTelevision,
2014-03-14 19:27:13.554903,sofaSens,WatchTelevision,end
2014-03-14 20:02:51.801132,saucepanSens,MakePasta,start
2014-03-14 20:03:14.746492,spaghettiSens,MakePasta,
2014-03-14 20:03:38.475581,cookerSens,MakePasta,
2014-03-14 20:11:43.971217,ftomatoSens,MakePasta,end
2014-03-14 20:39:12.673845,cupSens,MakeCoffee,start
2014-03-14 20:39:30.258369,afcoffeeSens,MakeCoffee,
2014-03-14 20:39:51.706444,wsugarSens,MakeCoffee,end
2014-03-14 20:43:04.380413,brusherSens,BrushTeeth,start
2014-03-14 20:43:09.367525,toothpasteSens,BrushTeeth,
2014-03-14 20:43:20.039267,btapSens,BrushTeeth,end
2014-03-15 07:21:35.707499,cupSens,MakeCoffee,start
2014-03-15 07:21:52.432246,afcoffeeSens,MakeCoffee,
2014-03-15 07:22:16.799843,wsugarSens,MakeCoffee,end
2014-03-15 07:22:44.510039,brusherSens,BrushTeeth,start
2014-03-15 07:22:48.552397,toothpasteSens,BrushTeeth,
2014-03-15 07:22:57.034522,btapSens,BrushTeeth,end
2014-03-15 13:20:40.852645,macaroniSens,MakePasta,start
2014-03-15 13:21:04.057784,saucepanSens,MakePasta,
2014-03-15 13:21:27.043138,cookerSens,MakePasta,
2014-03-15 13:22:05.138158,baconSens,MakePasta,
2014-03-15 13:32:12.545281,creamSens,MakePasta,end
2014-03-15 13:59:56.451076,brusherSens,BrushTeeth,start
2014-03-15 14:00:03.242686,toothpasteSens,BrushTeeth,
2014-03-15 14:00:12.428700,btapSens,BrushTeeth,end
2014-03-15 18:52:02.010563,rcontrolSens,WatchTelevision,start
2014-03-15 18:52:08.935863,tvSens,WatchTelevision,
2014-03-15 18:52:11.565334,sofaSens,WatchTelevision,end
2014-03-15 20:13:57.259613,saucepanSens,MakePasta,start
2014-03-15 20:14:08.548829,spaghettiSens,MakePasta,
2014-03-15 20:14:50.659726,cookerSens,MakePasta,
2014-03-15 20:30:27.081231,ftomatoSens,MakePasta,end
2014-03-15 21:00:39.081722,cupSens,MakeCoffee,start
2014-03-15 21:00:56.816447,afcoffeeSens,MakeCoffee,
2014-03-15 21:01:20.383187,wsugarSens,MakeCoffee,end
2014-03-15 21:05:06.892107,brusherSens,BrushTeeth,start
2014-03-15 21:05:12.254522,toothpasteSens,BrushTeeth,
2014-03-15 21:05:23.773852,btapSens,BrushTeeth,end
2014-03-16 07:07:32.319927,cupSens,MakeCoffee,start
2014-03-16 07:07:53.999067,afcoffeeSens,MakeCoffee,
2014-03-16 07:08:12.464883,wsugarSens,MakeCoffee,end
2014-03-16 07:08:51.708449,brusherSens,BrushTeeth,start
2014-03-16 07:08:56.180722,toothpasteSens,BrushTeeth,
2014-03-16 07:09:06.353324,btapSens,BrushTeeth,end
2014-03-16 13:27:12.919560,saucepanSens,MakePasta,start
2014-03-16 13:27:23.811005,spaghettiSens,MakePasta,
2014-03-16 13:27:45.339784,cookerSens,MakePasta,
2014-03-16 13:35:19.931829,ftomatoSens,MakePasta,end
2014-03-16 14:06:41.267510,brusherSens,BrushTeeth,start
2014-03-16 14:06:48.116896,toothpasteSens,BrushTeeth,
2014-03-16 14:06:54.555153,btapSens,BrushTeeth,end
2014-03-16 19:03:29.877512,rcontrolSens,WatchTelevision,start
2014-03-16 19:03:36.065855,tvSens,WatchTelevision,
2014-03-16 19:03:40.277967,sofaSens,WatchTelevision,end
2014-03-16 20:22:04.657417,saucepanSens,MakePasta,start
2014-03-16 20:22:30.917398,spaghettiSens,MakePasta,
2014-03-16 20:22:48.065990,cookerSens,MakePasta,
2014-03-16 20:31:20.216735,ftomatoSens,MakePasta,end
2014-03-16 20:57:49.185188,cupSens,MakeCoffee,start
2014-03-16 20:58:04.431977,afcoffeeSens,MakeCoffee,
2014-03-16 20:58:17.922905,wsugarSens,MakeCoffee,end
2014-03-16 21:02:22.225084,brusherSens,BrushTeeth,start
2014-03-16 21:02:26.392161,toothpasteSens,BrushTeeth,
2014-03-16 21:02:34.701465,btapSens,BrushTeeth,end
